nm	Absorbancia
179.19	-0.273
179.57	-0.273
179.95	-0.273
180.33	-0.000
180.71	-0.000
181.09	-0.000
181.47	-0.000
181.86	-0.000
182.24	-0.000
182.62	-0.000
183.00	-0.000
183.38	-0.000
183.76	-0.000
184.14	-0.000
184.53	-0.000
184.91	-0.000
185.29	-0.000
185.67	-0.000
186.05	-0.000
186.43	-0.000
186.81	-0.000
187.19	-0.000
187.58	-0.000
187.96	-0.000
188.34	-0.000
188.72	-0.000
189.10	-0.000
189.48	-0.301
189.86	-0.000
190.24	-0.000
190.62	-0.000
191.00	-0.000
191.39	-0.000
191.77	0.677
192.15	0.653
192.53	-0.000
192.91	0.065
193.29	0.564
193.67	-0.000
194.05	0.342
194.43	-0.000
194.81	-0.385
195.19	1.166
195.57	-0.000
195.95	0.746
196.33	0.436
196.71	0.612
197.09	0.160
197.47	-0.186
197.86	0.760
198.24	0.623
198.62	0.079
199.00	-0.092
199.38	0.276
199.76	0.026
200.14	0.125
200.52	-0.027
200.90	0.459
201.28	0.665
201.66	0.028
202.04	0.211
202.42	0.023
202.80	-0.000
203.18	0.048
203.56	-0.310
203.94	0.218
204.32	0.142
204.70	0.570
205.08	-0.000
205.46	0.122
205.84	0.365
206.22	0.729
206.60	0.070
206.98	0.217
207.35	0.769
207.73	0.163
208.11	0.102
208.49	0.385
208.87	-0.158
209.25	0.413
209.63	0.023
210.01	0.355
210.39	0.202
210.77	0.131
211.15	-0.112
211.53	0.359
211.91	0.418
212.29	-0.144
212.67	0.431
213.05	0.527
213.43	1.041
213.80	0.293
214.18	0.203
214.56	0.384
214.94	0.346
215.32	0.739
215.70	0.442
216.08	0.510
216.46	0.405
216.84	0.572
217.22	0.623
217.59	0.502
217.97	0.531
218.35	0.648
218.73	0.551
219.11	0.456
219.49	0.514
219.87	0.592
220.25	0.512
220.62	0.481
221.00	0.463
221.38	0.430
221.76	0.483
222.14	0.446
222.52	0.470
222.90	0.449
223.27	0.412
223.65	0.399
224.03	0.424
224.41	0.418
224.79	0.396
225.17	0.418
225.54	0.387
225.92	0.372
226.30	0.389
226.68	0.371
227.06	0.335
227.43	0.362
227.81	0.358
228.19	0.362
228.57	0.350
228.95	0.326
229.33	0.351
229.70	0.333
230.08	0.327
230.46	0.326
230.84	0.318
231.21	0.293
231.59	0.297
231.97	0.276
232.35	0.280
232.73	0.311
233.10	0.302
233.48	0.271
233.86	0.293
234.24	0.282
234.61	0.280
234.99	0.292
235.37	0.269
235.75	0.275
236.12	0.279
236.50	0.265
236.88	0.292
237.26	0.267
237.63	0.255
238.01	0.263
238.39	0.253
238.76	0.262
239.14	0.261
239.52	0.264
239.90	0.227
240.27	0.233
240.65	0.252
241.03	0.229
241.40	0.238
241.78	0.239
242.16	0.243
242.54	0.235
242.91	0.235
243.29	0.208
243.67	0.219
244.04	0.241
244.42	0.212
244.80	0.212
245.17	0.221
245.55	0.209
245.93	0.216
246.30	0.213
246.68	0.225
247.06	0.199
247.43	0.198
247.81	0.205
248.19	0.196
248.56	0.188
248.94	0.194
249.32	0.188
249.69	0.189
250.07	0.186
250.44	0.179
250.82	0.184
251.20	0.172
251.57	0.182
251.95	0.189
252.33	0.178
252.70	0.168
253.08	0.172
253.45	0.161
253.83	0.169
254.21	0.165
254.58	0.172
254.96	0.183
255.33	0.163
255.71	0.160
256.08	0.177
256.46	0.162
256.84	0.173
257.21	0.163
257.59	0.154
257.96	0.143
258.34	0.155
258.71	0.145
259.09	0.152
259.47	0.137
259.84	0.143
260.22	0.147
260.59	0.159
260.97	0.149
261.34	0.134
261.72	0.139
262.09	0.138
262.47	0.134
262.84	0.148
263.22	0.126
263.60	0.137
263.97	0.142
264.35	0.132
264.72	0.132
265.10	0.119
265.47	0.130
265.85	0.123
266.22	0.142
266.60	0.140
266.97	0.131
267.35	0.126
267.72	0.135
268.10	0.120
268.47	0.104
268.85	0.116
269.22	0.124
269.59	0.123
269.97	0.127
270.34	0.122
270.72	0.122
271.09	0.103
271.47	0.122
271.84	0.121
272.22	0.117
272.59	0.115
272.97	0.112
273.34	0.108
273.71	0.094
274.09	0.106
274.46	0.104
274.84	0.108
275.21	0.112
275.59	0.112
275.96	0.111
276.33	0.124
276.71	0.102
277.08	0.103
277.46	0.097
277.83	0.112
278.21	0.115
278.58	0.115
278.95	0.099
279.33	0.089
279.70	0.100
280.07	0.077
280.45	0.097
280.82	0.116
281.20	0.087
281.57	0.095
281.94	0.093
282.32	0.094
282.69	0.096
283.06	0.094
283.44	0.098
283.81	0.101
284.19	0.077
284.56	0.095
284.93	0.094
285.31	0.086
285.68	0.097
286.05	0.075
286.43	0.090
286.80	0.102
287.17	0.098
287.55	0.077
287.92	0.087
288.29	0.099
288.66	0.086
289.04	0.075
289.41	0.078
289.78	0.072
290.16	0.090
290.53	0.083
290.90	0.093
291.28	0.087
291.65	0.081
292.02	0.082
292.39	0.070
292.77	0.084
293.14	0.064
